date,input_tokens,output_tokens
2026-08-20,11342,8901
2026-08-21,11036,6415
2026-08-22,11181,4270
2026-08-22,26698,10930
2026-08-23,10140,1351
2026-08-24,13371,4623
2026-08-25,14587,5001
2026-08-26,22311,7063
2026-08-27,62188,24358
2026-08-28,21937,3789
2026-08-28,27535,4819
2026-08-28,53420,9163
2026-08-28,28763,4878
2026-08-29,22292,3368
2026-08-30,21237,2329
2026-08-30,21315,2709
2026-08-31,28621,4841
2026-08-31,76969,14026
2026-09-01,29428,4592
2026-09-02,32652,5586
2026-09-02,32562,5702
2026-09-03,78343,15867
2026-09-04,61846,10341
2026-09-04,33517,5626
2026-09-05,23264,3000
